Instancia,Algoritmo,Cores,Conflitos,Tempo (s),Gap para otimo
fpsol2.i.1.col,BFS-CA,65,0,0.0167,0
fpsol2.i.1.col,Welsh-Powell,65,0,0.0669,0
fpsol2.i.1.col,DSATUR,65,0,0.121,0
fpsol2.i.2.col,BFS-CA,32,0,0.0,2
fpsol2.i.2.col,Welsh-Powell,30,0,0.0282,0
fpsol2.i.2.col,DSATUR,30,0,0.0625,0
fpsol2.i.3.col,BFS-CA,32,0,0.0,2
fpsol2.i.3.col,Welsh-Powell,30,0,0.0305,0
fpsol2.i.3.col,DSATUR,30,0,0.0625,0
inithx.i.1.col,BFS-CA,55,0,0.0156,1
inithx.i.1.col,Welsh-Powell,54,0,0.085,0
inithx.i.1.col,DSATUR,54,0,0.2343,0
inithx.i.2.col,BFS-CA,32,0,0.008,1
inithx.i.2.col,Welsh-Powell,31,0,0.0403,0
inithx.i.2.col,DSATUR,31,0,0.125,0
inithx.i.3.col,BFS-CA,32,0,0.0203,1
inithx.i.3.col,Welsh-Powell,31,0,0.0337,0
inithx.i.3.col,DSATUR,31,0,0.1406,0
le450_15a.col,BFS-CA,22,0,0.001,7
le450_15a.col,Welsh-Powell,18,0,0.0162,3
le450_15a.col,DSATUR,17,0,0.0671,2
le450_15b.col,BFS-CA,21,0,0.0108,6
le450_15b.col,Welsh-Powell,18,0,0.0161,3
le450_15b.col,DSATUR,17,0,0.0562,2
le450_15c.col,BFS-CA,30,0,0.01,15
le450_15c.col,Welsh-Powell,26,0,0.0207,11
le450_15c.col,DSATUR,23,0,0.1618,8
le450_15d.col,BFS-CA,30,0,0.0,15
le450_15d.col,Welsh-Powell,26,0,0.023,11
le450_15d.col,DSATUR,24,0,0.163,9
le450_25a.col,BFS-CA,27,0,0.003,2
le450_25a.col,Welsh-Powell,26,0,0.017,1
le450_25a.col,DSATUR,25,0,0.0666,0
le450_25b.col,BFS-CA,27,0,0.0052,2
le450_25b.col,Welsh-Powell,25,0,0.0315,0
le450_25b.col,DSATUR,25,0,0.0549,0
le450_25c.col,BFS-CA,36,0,0.0107,11
le450_25c.col,Welsh-Powell,29,0,0.0469,4
le450_25c.col,DSATUR,30,0,0.1869,5
le450_25d.col,BFS-CA,36,0,0.011,11
le450_25d.col,Welsh-Powell,30,0,0.0373,5
le450_25d.col,DSATUR,28,0,0.1848,3
le450_5a.col,BFS-CA,12,0,0.0194,7
le450_5a.col,Welsh-Powell,11,0,0.0102,6
le450_5a.col,DSATUR,10,0,0.0601,5
le450_5b.col,BFS-CA,14,0,0.0164,9
le450_5b.col,Welsh-Powell,12,0,0.003,7
le450_5b.col,DSATUR,9,0,0.0543,4
le450_5c.col,BFS-CA,16,0,0.0064,11
le450_5c.col,Welsh-Powell,12,0,0.0,7
le450_5c.col,DSATUR,11,0,0.0835,6
le450_5d.col,BFS-CA,15,0,0.0115,10
le450_5d.col,Welsh-Powell,14,0,0.0225,9
le450_5d.col,DSATUR,12,0,0.0775,7
mulsol.i.1.col,BFS-CA,49,0,0.0,0
mulsol.i.1.col,Welsh-Powell,49,0,0.0273,0
mulsol.i.1.col,DSATUR,49,0,0.0421,0
mulsol.i.2.col,BFS-CA,31,0,0.0,0
mulsol.i.2.col,Welsh-Powell,31,0,0.018,0
mulsol.i.2.col,DSATUR,31,0,0.0162,0
mulsol.i.3.col,BFS-CA,31,0,0.0,0
mulsol.i.3.col,Welsh-Powell,31,0,0.0192,0
mulsol.i.3.col,DSATUR,31,0,0.0163,0
mulsol.i.4.col,BFS-CA,31,0,0.0,0
mulsol.i.4.col,Welsh-Powell,31,0,0.0193,0
mulsol.i.4.col,DSATUR,31,0,0.0327,0
mulsol.i.5.col,BFS-CA,31,0,0.0,0
mulsol.i.5.col,Welsh-Powell,31,0,0.0168,0
mulsol.i.5.col,DSATUR,31,0,0.0349,0
zeroin.i.1.col,BFS-CA,49,0,0.0,0
zeroin.i.1.col,Welsh-Powell,49,0,0.0373,0
zeroin.i.1.col,DSATUR,49,0,0.0455,0
zeroin.i.2.col,BFS-CA,30,0,0.0,0
zeroin.i.2.col,Welsh-Powell,30,0,0.0027,0
zeroin.i.2.col,DSATUR,30,0,0.0343,0
zeroin.i.3.col,BFS-CA,30,0,0.0,0
zeroin.i.3.col,Welsh-Powell,30,0,0.021,0
zeroin.i.3.col,DSATUR,30,0,0.0158,0
anna.col,BFS-CA,12,0,0.0,1
anna.col,Welsh-Powell,11,0,0.001,0
anna.col,DSATUR,11,0,0.0048,0
david.col,BFS-CA,11,0,0.0,0
david.col,Welsh-Powell,11,0,0.001,0
david.col,DSATUR,11,0,0.0029,0
homer.col,BFS-CA,13,0,0.0,0
homer.col,Welsh-Powell,13,0,0.0184,0
homer.col,DSATUR,13,0,0.0473,0
huck.col,BFS-CA,11,0,0.0,0
huck.col,Welsh-Powell,11,0,0.0,0
huck.col,DSATUR,11,0,0.0,0
jean.col,BFS-CA,10,0,0.0,0
jean.col,Welsh-Powell,10,0,0.0,0
jean.col,DSATUR,10,0,0.0016,0
games120.col,BFS-CA,9,0,0.0,0
games120.col,Welsh-Powell,9,0,0.0,0
games120.col,DSATUR,9,0,0.0,0
miles1000.col,BFS-CA,46,0,0.0,4
miles1000.col,Welsh-Powell,43,0,0.0117,1
miles1000.col,DSATUR,42,0,0.0298,0
miles1500.col,BFS-CA,73,0,0.0,0
miles1500.col,Welsh-Powell,73,0,0.0533,0
miles1500.col,DSATUR,73,0,0.0469,0
miles250.col,BFS-CA,10,0,0.0,2
miles250.col,Welsh-Powell,8,0,0.0,0
miles250.col,DSATUR,8,0,0.0,0
miles500.col,BFS-CA,21,0,0.0,1
miles500.col,Welsh-Powell,20,0,0.0,0
miles500.col,DSATUR,20,0,0.0,0
miles750.col,BFS-CA,34,0,0.001,3
miles750.col,Welsh-Powell,32,0,0.0,1
miles750.col,DSATUR,31,0,0.0162,0
queen11_11.col,BFS-CA,18,0,0.0,7
queen11_11.col,Welsh-Powell,17,0,0.0088,6
queen11_11.col,DSATUR,16,0,0.011,5
queen13_13.col,BFS-CA,21,0,0.0166,8
queen13_13.col,Welsh-Powell,23,0,0.001,10
queen13_13.col,DSATUR,17,0,0.0159,4
queen5_5.col,BFS-CA,8,0,0.0,3
queen5_5.col,Welsh-Powell,7,0,0.0,2
queen5_5.col,DSATUR,5,0,0.0,0
queen6_6.col,BFS-CA,10,0,0.001,3
queen6_6.col,Welsh-Powell,9,0,0.0,2
queen6_6.col,DSATUR,9,0,0.001,2
queen7_7.col,BFS-CA,11,0,0.001,4
queen7_7.col,Welsh-Powell,12,0,0.0013,5
queen7_7.col,DSATUR,10,0,0.002,3
queen8_12.col,BFS-CA,15,0,0.0,3
queen8_12.col,Welsh-Powell,15,0,0.0033,3
queen8_12.col,DSATUR,14,0,0.002,2
queen8_8.col,BFS-CA,14,0,0.0,5
queen8_8.col,Welsh-Powell,13,0,0.0,4
queen8_8.col,DSATUR,13,0,0.0164,4
queen9_9.col,BFS-CA,15,0,0.0,5
queen9_9.col,Welsh-Powell,15,0,0.0,5
queen9_9.col,DSATUR,13,0,0.005,3
myciel3.col,BFS-CA,4,0,0.0,0
myciel3.col,Welsh-Powell,4,0,0.0,0
myciel3.col,DSATUR,4,0,0.0,0
myciel4.col,BFS-CA,5,0,0.0,0
myciel4.col,Welsh-Powell,5,0,0.0,0
myciel4.col,DSATUR,5,0,0.0,0
myciel5.col,BFS-CA,6,0,0.0,0
myciel5.col,Welsh-Powell,6,0,0.001,0
myciel5.col,DSATUR,6,0,0.001,0
myciel6.col,BFS-CA,7,0,0.0,0
myciel6.col,Welsh-Powell,7,0,0.001,0
myciel6.col,DSATUR,7,0,0.0032,0
myciel7.col,BFS-CA,8,0,0.0,0
myciel7.col,Welsh-Powell,8,0,0.002,0
myciel7.col,DSATUR,8,0,0.0116,0
